Intersection ID,Timestamp,Signal Status,Vehicle Count,Pedestrian Count,Camera Status,Comments
INT004,2023-01-02 12:55:00,Yellow,17,14,Active,Unusual traffic pattern due to detour
INT002,2023-01-02 13:00:00,Green,34,20,Inactive,
INT003,2023-01-02 13:05:00,Red,48,9,Inactive,
INT004,2023-01-02 13:10:00,Yellow,28,2,Inactive,Ignore this row for analysis
INT001,2023-01-02 13:15:00,Green,29,6,Active,"Camera offline, data may be inaccurate"
INT004,2023-01-02 13:20:00,Green,17,2,Malfunctioning,Check timestamp anomaly
INT004,2023-01-02 13:25:00,Yellow,29,1,Active,
INT002,2023-01-02 13:30:00,Yellow,4,2,Active,
INT001,2023-01-02 13:35:00,Green,18,15,Malfunctioning,Data corrupted - exclude
INT004,2023-01-02 13:40:00,Red,4,2,Active,
INT003,2023-01-02 13:45:00,Green,15,19,Active,
INT004,2023-01-02 13:50:00,Green,41,5,Active,Ignore this row for analysis
INT001,2023-01-02 13:55:00,Yellow,16,14,Malfunctioning,Pedestrian count unusually high due to event
INT002,2023-01-02 14:00:00,Red,35,3,Active,
INT003,2023-01-02 14:05:00,Red,18,20,Malfunctioning,
INT001,2023-01-02 14:10:00,Yellow,18,16,Malfunctioning,Data corrupted - exclude
INT004,2023-01-02 14:15:00,Green,46,16,Inactive,Duplicate entry - verify
INT004,2023-01-02 14:20:00,Green,18,9,Malfunctioning,Duplicate entry - verify
INT003,2023-01-02 14:25:00,Green,44,19,Malfunctioning,
INT001,2023-01-02 14:30:00,Green,28,15,Malfunctioning,Ignore this row for analysis
INT004,2023-01-02 14:35:00,Green,27,16,Active,
INT001,2023-01-02 14:40:00,Red,2,20,Active,
INT002,2023-01-02 14:45:00,Yellow,46,17,Active,
INT001,2023-01-02 14:50:00,Yellow,27,11,Inactive,
INT001,2023-01-02 14:55:00,Yellow,14,6,Malfunctioning,
INT001,2023-01-02 15:00:00,Yellow,34,0,Inactive,
INT003,2023-01-02 15:05:00,Green,4,10,Malfunctioning,
INT002,2023-01-02 15:10:00,Green,43,18,Malfunctioning,
INT004,2023-01-02 15:15:00,Red,46,16,Inactive,Ignore this row for analysis
INT001,2023-01-02 15:20:00,Yellow,37,2,Malfunctioning,Pedestrian count unusually high due to event
INT004,2023-01-02 15:25:00,Yellow,23,10,Malfunctioning,
INT001,2023-01-02 15:30:00,Yellow,11,11,Inactive,"Camera offline, data may be inaccurate"
INT002,2023-01-02 15:35:00,Yellow,28,11,Active,Sensor glitch detected
INT002,2023-01-02 15:40:00,Yellow,10,19,Active,
INT004,2023-01-02 15:45:00,Yellow,43,1,Inactive,Ignore this row for analysis
INT001,2023-01-02 15:50:00,Green,21,6,Malfunctioning,"Camera offline, data may be inaccurate"
INT003,2023-01-02 15:55:00,Green,50,11,Active,
INT003,2023-01-02 16:00:00,Green,42,14,Malfunctioning,
INT002,2023-01-02 16:05:00,Red,9,4,Inactive,Data corrupted - exclude
INT004,2023-01-02 16:10:00,Red,42,6,Active,"Camera offline, data may be inaccurate"
INT003,2023-01-02 16:15:00,Red,42,4,Malfunctioning,Data corrupted - exclude
INT004,2023-01-02 16:20:00,Yellow,1,7,Inactive,Pedestrian count unusually high due to event
INT004,2023-01-02 16:25:00,Yellow,23,1,Malfunctioning,
INT001,2023-01-02 16:30:00,Yellow,16,17,Active,
INT004,2023-01-02 16:35:00,Green,1,14,Malfunctioning,
INT001,2023-01-02 16:40:00,Yellow,21,10,Malfunctioning,
INT002,2023-01-02 16:45:00,Yellow,50,9,Malfunctioning,
INT003,2023-01-02 16:50:00,Red,17,14,Inactive,
INT001,2023-01-02 16:55:00,Green,35,19,Active,"Signal stuck on red, vehicle count unreliable"
INT001,2023-01-02 17:00:00,Yellow,1,15,Inactive,
INT003,2023-01-02 17:05:00,Yellow,9,2,Malfunctioning,
INT002,2023-01-02 17:10:00,Red,26,19,Malfunctioning,Duplicate entry - verify
INT003,2023-01-02 17:15:00,Red,46,11,Active,
INT004,2023-01-02 17:20:00,Green,28,18,Inactive,Unusual traffic pattern due to detour
INT004,2023-01-02 17:25:00,Green,27,8,Active,Ignore this row for analysis
INT001,2023-01-02 17:30:00,Yellow,13,10,Malfunctioning,"Camera offline, data may be inaccurate"
INT001,2023-01-02 17:35:00,Yellow,35,11,Active,
INT003,2023-01-02 17:40:00,Green,37,14,Inactive,Pedestrian count unusually high due to event
INT004,2023-01-02 17:45:00,Green,31,12,Malfunctioning,
INT003,2023-01-02 17:50:00,Green,27,11,Inactive,
INT004,2023-01-02 17:55:00,Green,26,1,Malfunctioning,
INT001,2023-01-02 18:00:00,Yellow,48,17,Malfunctioning,
INT001,2023-01-02 18:05:00,Yellow,45,4,Malfunctioning,"Signal stuck on red, vehicle count unreliable"
INT002,2023-01-02 18:10:00,Red,5,17,Active,
INT002,2023-01-02 18:15:00,Green,26,13,Inactive,
INT002,2023-01-02 18:20:00,Red,49,11,Inactive,Data corrupted - exclude
INT004,2023-01-02 18:25:00,Yellow,47,3,Active,Ignore this row for analysis
INT003,2023-01-02 18:30:00,Yellow,26,9,Malfunctioning,
INT002,2023-01-02 18:35:00,Green,30,9,Inactive,Manual override in effect
INT002,2023-01-02 18:40:00,Red,48,17,Malfunctioning,Duplicate entry - verify
INT003,2023-01-02 18:45:00,Red,39,3,Active,
INT004,2023-01-02 18:50:00,Yellow,37,13,Malfunctioning,"Signal stuck on red, vehicle count unreliable"
INT003,2023-01-02 18:55:00,Red,20,7,Malfunctioning,Manual override in effect
INT004,2023-01-02 19:00:00,Yellow,21,18,Active,
INT001,2023-01-02 19:05:00,Green,13,16,Active,Check timestamp anomaly
INT001,2023-01-02 19:10:00,Yellow,33,20,Active,Duplicate entry - verify
INT003,2023-01-02 19:15:00,Yellow,23,14,Active,Pedestrian count unusually high due to event
INT001,2023-01-02 19:20:00,Yellow,30,14,Active,"Signal stuck on red, vehicle count unreliable"
INT001,2023-01-02 19:25:00,Yellow,19,18,Malfunctioning,
INT001,2023-01-02 19:30:00,Yellow,47,8,Malfunctioning,
INT004,2023-01-02 19:35:00,Green,10,4,Inactive,
INT001,2023-01-02 19:40:00,Red,44,4,Inactive,Pedestrian count unusually high due to event
INT002,2023-01-02 19:45:00,Green,32,15,Active,
INT002,2023-01-02 19:50:00,Red,34,13,Active,"Camera offline, data may be inaccurate"
INT002,2023-01-02 19:55:00,Red,9,12,Active,
INT001,2023-01-02 20:00:00,Yellow,36,2,Inactive,"Camera offline, data may be inaccurate"
INT003,2023-01-02 20:05:00,Yellow,31,1,Inactive,
INT003,2023-01-02 20:10:00,Green,40,2,Malfunctioning,
INT001,2023-01-02 20:15:00,Green,47,10,Malfunctioning,Unusual traffic pattern due to detour
INT004,2023-01-02 20:20:00,Yellow,49,11,Active,
INT003,2023-01-02 20:25:00,Green,31,1,Inactive,Pedestrian count unusually high due to event
INT002,2023-01-02 20:30:00,Green,33,15,Inactive,Manual override in effect
INT004,2023-01-02 20:35:00,Yellow,43,4,Malfunctioning,Ignore this row for analysis
INT002,2023-01-02 20:40:00,Yellow,23,2,Malfunctioning,
INT004,2023-01-02 20:45:00,Green,6,16,Inactive,Ignore this row for analysis
INT002,2023-01-02 20:50:00,Green,4,9,Malfunctioning,Manual override in effect
INT004,2023-01-02 20:55:00,Green,33,1,Malfunctioning,
INT002,2023-01-02 21:00:00,Red,50,4,Active,
INT003,2023-01-02 21:05:00,Green,47,17,Malfunctioning,
INT004,2023-01-02 21:10:00,Green,31,2,Active,
INT001,2023-01-02 21:15:00,Green,6,5,Inactive,"Camera offline, data may be inaccurate"
INT002,2023-01-02 21:20:00,Green,25,14,Inactive,
INT002,2023-01-02 21:25:00,Red,37,9,Inactive,Sensor glitch detected
INT003,2023-01-02 21:30:00,Green,29,11,Malfunctioning,
INT002,2023-01-02 21:35:00,Red,23,0,Active,
INT001,2023-01-02 21:40:00,Yellow,20,0,Inactive,
INT001,2023-01-02 21:45:00,Red,1,16,Active,Unusual traffic pattern due to detour
INT003,2023-01-02 21:50:00,Yellow,24,17,Malfunctioning,Data corrupted - exclude
INT002,2023-01-02 21:55:00,Red,10,20,Inactive,
INT004,2023-01-02 22:00:00,Green,1,18,Inactive,
INT004,2023-01-02 22:05:00,Red,26,5,Malfunctioning,
INT002,2023-01-02 22:10:00,Green,27,6,Active,
INT004,2023-01-02 22:15:00,Yellow,27,16,Inactive,
INT004,2023-01-02 22:20:00,Green,47,15,Inactive,Unusual traffic pattern due to detour
INT004,2023-01-02 22:25:00,Green,50,12,Inactive,
INT003,2023-01-02 22:30:00,Yellow,45,13,Inactive,Duplicate entry - verify
INT001,2023-01-02 22:35:00,Green,46,15,Inactive,
INT001,2023-01-02 22:40:00,Green,32,1,Malfunctioning,
INT004,2023-01-02 22:45:00,Red,49,14,Inactive,
INT003,2023-01-02 22:50:00,Yellow,24,15,Inactive,
INT004,2023-01-02 22:55:00,Green,46,14,Malfunctioning,
INT003,2023-01-02 23:00:00,Green,29,4,Inactive,
INT004,2023-01-02 23:05:00,Yellow,43,13,Malfunctioning,
INT001,2023-01-02 23:10:00,Red,29,12,Active,Pedestrian count unusually high due to event
INT001,2023-01-02 23:15:00,Yellow,28,11,Active,
INT003,2023-01-02 23:20:00,Green,26,14,Malfunctioning,
INT003,2023-01-02 23:25:00,Red,3,17,Malfunctioning,Sensor glitch detected
INT001,2023-01-02 23:30:00,Yellow,10,6,Active,Duplicate entry - verify
INT002,2023-01-02 23:35:00,Red,45,7,Malfunctioning,"Signal stuck on red, vehicle count unreliable"
